[13/07/2021 - 05:12:18] - SMS: EAE, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 05:12:34] - SMS: opa, enviou: Low_FPSx - CEL:[4288]
[13/07/2021 - 05:12:58] - SMS: CAIXINHA DA BINCO TA SENDK ROUBADO, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 05:13:21] - SMS: POSSO FZR PTR COM VCS?, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 05:13:22] - SMS: AI E FODA FORCOU RP , enviou: Low_FPSx - CEL:[4288]
[13/07/2021 - 05:13:42] - SMS: EU ACABEI DE PASSAR ALI DOIDL, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 05:13:43] - SMS: PD SIM, enviou: Low_FPSx - CEL:[4288]
[13/07/2021 - 05:13:57] - SMS: ATE ME POCARA, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:08:38] - SMS: EAE, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:09:02] - SMS: TA EM,PTR DE MOTO?, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:09:56] - SMS: ESTOU DE ROCAM, enviou: Isaac_David - CEL:[6794]
[13/07/2021 - 06:10:32] - SMS: ROCAM PODE FAZER PTR SOLO! ESTA NAS REGRAS, enviou: Isaac_David - CEL:[6794]
[13/07/2021 - 06:11:13] - SMS: nao so tava perfuntando mesmo, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:11:47] - SMS: nao estou entendendo, enviou: Isaac_David - CEL:[6794]
[13/07/2021 - 06:12:17] - SMS: nao so tava perguntando porque se nao ia fazer ptr cntg, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:24:44] - SMS: OU BR FAZER PTR?, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:25:02] - SMS: BORA, enviou: Isaac_David - CEL:[6794]
[13/07/2021 - 06:25:27] - SMS: NA SUA BASE TEM OUTRA MOTO?, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:26:00] - SMS: sim mas acho que nao da pra voce pegar, enviou: Isaac_David - CEL:[6794]
[13/07/2021 - 06:26:25] - SMS: PQ MINHA BASE TA SEM MOTO , enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:26:54] - SMS: fica aonde voce ta, enviou: Isaac_David - CEL:[6794]
[13/07/2021 - 06:27:19] - SMS: TO NA MINHA BASE, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 06:27:25] - SMS: vai caixinha, enviou: Isaac_David - CEL:[6794]
[13/07/2021 - 06:27:50] - SMS: TO SOZINHO, enviou: Joaozinx_ff - CEL:[9846]
[13/07/2021 - 15:02:11] - SMS: tem vaga ae, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 17:51:40] - SMS: amg , enviou: TZ_SAMP - CEL:[6676]
[13/07/2021 - 17:52:04] - SMS: quer troca de org, enviou: TZ_SAMP - CEL:[6676]
[13/07/2021 - 17:52:21] - SMS: so lide da groove mas quero muito o cv, enviou: TZ_SAMP - CEL:[6676]
[13/07/2021 - 19:40:07] - SMS: ae eu quero me entregar, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 19:40:40] - SMS: quero me entregar, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 19:40:53] - SMS: quero me entregar, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 19:40:54] - SMS: ok vc precisa ter 50 mil e vir na base da rota e eu limpo sua f, enviou: GABRIEL_SAMP - CEL:[1472]
[13/07/2021 - 19:42:48] - SMS: opa como vai o cv, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:08:12] - SMS: tem vaga no cv?, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:15:07] - SMS: boa tava testando mira lindao, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:34:31] - SMS: tem vaga ae, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:34:43] - SMS: tem sim, enviou: jaozinho - CEL:[64570]
[13/07/2021 - 20:34:56] - SMS: quero teste, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:35:12] - SMS: ta no dc , enviou: jaozinho - CEL:[64570]
[13/07/2021 - 20:35:28] - SMS: no do cv n, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:35:35] - SMS: me chama nno pv no dc mh nome e helper jaozinho, enviou: jaozinho - CEL:[64570]
[13/07/2021 - 20:35:53] - SMS: o fala com o kira , enviou: jaozinho - CEL:[64570]
[13/07/2021 - 20:36:03] - SMS: pq vou sair agr, enviou: jaozinho - CEL:[64570]
[13/07/2021 - 20:36:15] - SMS: kira quero teste, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:36:30] - SMS: tava falando aq com o joaozin, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:37:04] - SMS: tem vaga ae, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:40:42] - SMS: tem vaga ae na turquia, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:41:02] - SMS: SO PRA MENINA, enviou: Rei_Do_Rolas - CEL:[7417]
[13/07/2021 - 20:41:19] - SMS: OXE E O FRESCO E, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:41:32] - SMS: MAI NE FODA, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:41:42] - SMS: UE, enviou: Rei_Do_Rolas - CEL:[7417]
[13/07/2021 - 20:42:11] - SMS: ue pq eu n posso entra, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:44:30] - SMS: vai mn eu quero teste, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:46:11] - SMS: tem vag ae, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:46:19] - SMS: tem vaga ae, enviou: Rafinha_Brabo - CEL:[1155]
[13/07/2021 - 20:46:37] - SMS: tem vaga ae, enviou: Rafinha_Brabo - CEL:[1155]
[14/07/2021 - 01:20:50] - SMS: tu me demitiu pq, enviou: Rafinha_Brabo - CEL:[1155]
