[16/7/2021] [3:49:36] Capudinha IP:195.123.213.68 foi banido pelo admin Russo, motivo: deixa eu dormir
[16/7/2021] [3:49:36] JamelinhaFF IP:141.136.0.9 foi banido pelo admin Russo, motivo: o msm
[16/7/2021] [3:49:36] Angel_BB IP:45.67.99.41 foi banido pelo admin Russo, motivo: antxitermelhoradu
[16/7/2021] [15:14:56] Felipe_Pedrosa IP:177.21.198.56 foi banido pelo admin Automático, motivo: Xiter Velocidade
[16/7/2021] [15:14:56] ARABE_DA_TDTT IP:3.8.3.94 foi banido pelo admin Russo, motivo: ok
[16/7/2021] [15:14:56] Aquaman IP:45.91.23.133 foi banido pelo admin Russo, motivo: ok
[16/7/2021] [15:14:56] 6EISCAPAS. IP:3.96.175.96 foi banido pelo admin Russo, motivo: kk
[16/7/2021] [15:14:56] Bonezinho_TDTT IP:85.203.44.10 foi banido pelo admin Russo, motivo: kk
[16/7/2021] [15:14:56] RomeuSantos IP:45.131.193.35 foi banido pelo admin Russo, motivo: kk
[16/7/2021] [15:14:56] xanacarnivora IP:15.236.39.146 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] xanacarnivora IP:15.236.39.146 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] xanacarnivora IP:15.236.39.146 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] Guilherme_Santos IP:189.92.207.85 foi banido pelo admin Automático, motivo: Xiter Velocidade
[16/7/2021] [15:14:56] jao.batata IP:168.205.103.108 foi banido pelo admin Automático, motivo: Xiter Velocidade
[16/7/2021] [15:14:56] Ronaldo_Juta IP:45.170.230.159 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] Chevrolet_ IP:2.57.171.49 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] Chevrolet_ IP:2.57.171.49 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] Chevrolet_ IP:2.57.171.49 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] Chevrolet_ IP:2.57.171.49 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] Chevrolet_ IP:2.57.171.49 foi banido pelo admin Automático, motivo: Car Spam
[16/7/2021] [15:14:56] vgzinnn_n_ IP:18.142.46.22 foi banido pelo admin Russo, motivo: kk
